,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID
0,400,20.0,50,59,"Mon, 10 Feb 2020 20:55:44 GMT",True,"Mon, 10 Feb 2020 21:53:47 GMT",6140
1,400,68.0,170,59,"Mon, 10 Feb 2020 20:56:22 GMT",True,"Mon, 10 Feb 2020 21:53:47 GMT",6140
2,400,72.0,180,238,"Mon, 10 Feb 2020 21:03:35 GMT",True,"Tue, 11 Feb 2020 00:52:47 GMT",6140
3,400,75.2,188,444,"Mon, 10 Feb 2020 21:03:52 GMT",True,"Tue, 11 Feb 2020 04:18:47 GMT",6140
4,400,75.2,188,514,"Tue, 11 Feb 2020 04:44:50 GMT",True,"Tue, 11 Feb 2020 05:28:47 GMT",6140
5,400,75.2,188,514,"Tue, 11 Feb 2020 04:45:09 GMT",True,"Tue, 11 Feb 2020 05:28:47 GMT",6140
0,350,7.0,20,471,"Tue, 11 Feb 2020 16:59:11 GMT",True,"Tue, 11 Feb 2020 23:37:05 GMT",6062
1,350,7.0,20,471,"Tue, 11 Feb 2020 20:25:34 GMT",True,"Tue, 11 Feb 2020 23:37:05 GMT",6062
0,250,25.0,100,60,"Tue, 11 Feb 2020 18:36:11 GMT",True,"Tue, 11 Feb 2020 19:26:55 GMT",6171
1,250,25.0,100,394,"Tue, 11 Feb 2020 18:37:50 GMT",True,"Wed, 12 Feb 2020 01:00:55 GMT",6171
2,250,37.5,150,61,"Tue, 11 Feb 2020 18:38:10 GMT",True,"Tue, 11 Feb 2020 19:27:55 GMT",6171
3,250,37.5,150,402,"Tue, 11 Feb 2020 18:39:20 GMT",True,"Wed, 12 Feb 2020 01:08:55 GMT",6171
4,250,37.5,150,371,"Tue, 11 Feb 2020 18:41:58 GMT",True,"Wed, 12 Feb 2020 00:37:55 GMT",6171
5,250,52.5,210,284,"Tue, 11 Feb 2020 22:20:34 GMT",True,"Tue, 11 Feb 2020 23:10:55 GMT",6171
6,250,52.5,210,373,"Tue, 11 Feb 2020 23:50:34 GMT",True,"Wed, 12 Feb 2020 00:39:55 GMT",6171
0,350,7.0,20,405,"Wed, 12 Feb 2020 18:05:16 GMT",True,"Wed, 12 Feb 2020 22:06:31 GMT",6062
0,400,12.0,30,386,"Wed, 12 Feb 2020 18:40:51 GMT",True,"Thu, 13 Feb 2020 01:02:30 GMT",4400
0,250,35.0,140,373,"Wed, 12 Feb 2020 18:46:44 GMT",True,"Thu, 13 Feb 2020 00:58:46 GMT",6171
0,400,40.0,100,113,"Wed, 12 Feb 2020 23:36:47 GMT",True,"Wed, 12 Feb 2020 21:34:58 GMT",6189
0,400,16.0,40,345,"Wed, 12 Feb 2020 22:29:26 GMT",True,"Thu, 13 Feb 2020 04:13:59 GMT",6038
1,400,16.0,40,345,"Wed, 12 Feb 2020 22:30:09 GMT",True,"Thu, 13 Feb 2020 04:13:59 GMT",6038
2,400,16.0,40,345,"Wed, 12 Feb 2020 23:45:05 GMT",True,"Thu, 13 Feb 2020 04:13:59 GMT",6038
0,400,16.0,40,345,"Thu, 13 Feb 2020 14:55:42 GMT",True,"Thu, 13 Feb 2020 20:39:53 GMT",6038
1,400,16.0,40,412,"Thu, 13 Feb 2020 14:56:48 GMT",True,"Thu, 13 Feb 2020 21:46:53 GMT",6038
0,400,40.0,100,410,"Thu, 13 Feb 2020 15:36:18 GMT",True,"Thu, 13 Feb 2020 22:25:57 GMT",3618
0,400,40.0,100,382,"Thu, 13 Feb 2020 19:24:52 GMT",True,"Fri, 14 Feb 2020 01:46:29 GMT",6189
1,400,40.0,100,332,"Thu, 13 Feb 2020 19:24:59 GMT",True,"Fri, 14 Feb 2020 00:56:29 GMT",6189
0,350,7.0,20,258,"Fri, 14 Feb 2020 21:01:48 GMT",True,"Fri, 14 Feb 2020 20:25:02 GMT",6062
0,400,40.0,100,418,"Fri, 14 Feb 2020 19:27:21 GMT",True,"Sat, 15 Feb 2020 02:24:57 GMT",6189
1,400,40.0,100,347,"Fri, 14 Feb 2020 19:28:00 GMT",True,"Sat, 15 Feb 2020 01:13:57 GMT",6189
0,400,40.0,100,347,"Mon, 17 Feb 2020 19:34:49 GMT",True,"Tue, 18 Feb 2020 01:21:32 GMT",6189
0,350,7.0,20,258,"Wed, 19 Feb 2020 15:39:27 GMT",True,"Wed, 19 Feb 2020 19:45:55 GMT",6062
0,400,40.0,100,387,"Wed, 19 Feb 2020 17:50:42 GMT",True,"Thu, 20 Feb 2020 00:17:23 GMT",3618
1,400,40.0,100,1000,"Thu, 20 Feb 2020 01:19:21 GMT",True,"Thu, 20 Feb 2020 10:30:23 GMT",3618
0,400,40.0,100,347,"Wed, 19 Feb 2020 19:27:43 GMT",True,"Thu, 20 Feb 2020 01:14:33 GMT",6189
0,350,7.0,20,258,"Thu, 20 Feb 2020 15:48:16 GMT",True,"Thu, 20 Feb 2020 19:51:50 GMT",6062
